HIRAL19
1234
115		7		41		233
225		10		51		291
255		14		92		532
180		12		86		495
245		12		57		326
760		25		184		1061
200		9		38		219
1060		34		269		1559
130		8		58		332
35		3		12		71
145		10		31		180
0		1		1		5
195		12		79		452
130		7		68		391
755		29		186		1069
810		23		165		949
80		5		23		130
540		22		193		1110
2445		80		700		4207
1170		22		309		1658
740		27		198		1053
1085		30		223		1195
735		22		183		972
920		44		270		1479
10		2		10		56
150		11		46		244
130		10		55		292
220		13		78		415
570		19		151		797
305		17		107		567
235		12		52		276
1600		34		357		1927
310		18		94		495
35		2		14		76
190		11		76		401
55		5		30		160
1525		69		410		2212
95		7		43		228
265		15		80		421
1		1		1		1

ANIKET
ANIKET
0		1		0		6
100		7		30		253
1		1		1		1

SHU7BH
SHUBH
575		31		80		758
735		36		117		879
305		16		55		523
450		26		67		606
815		41		132		715
535		29		77		840
650		28		67		724
145		11		33		277
910		50		140		1186
180		12		36		265
350		20		53		394
1265		71		241		1862
0		1		3		30
375		18		31		293
1040		50		200		1500
10		2		9		79
2980		148		385		3639
710		39		108		951
590		31		87		869
1410		74		274		1506
245		15		35		351
345		18		37		389
1700		90		218		2244
445		25		73		630
375		20		64		554
640		33		113		992
4550		235		652		5844
365		22		65		662
560		27		71		703
215		13		36		352
2760		144		382		4129
105		7		20		175
395		26		61		520
55		4		6		55
210		13		27		235
1095		48		191		1608
1590		54		192		1632
2990		100		314		2735
0		1		0		5
1335		52		174		1484
210		11		42		350
55		4		14		111
180		12		45		395
1250		38		154		1370
150		10		33		367
340		18		46		515
15		2		8		91
120		6		14		123
185		11		37		318
105		7		16		147
545		24		93		816
935		27		129		1137
475		22		59		514
1505		42		217		1947
230		14		58		509
1285		45		178		1584
300		17		45		389
100		6		12		103
115		8		25		221
150		8		26		230
80		4		10		88
1125		32		153		1349
65		4		8		65
995		34		160		1253
360		19		63		479
2470		65		325		2630
1015		31		155		1220
1475		43		211		1686
3740		106		418		3439
815		18		116		910
80		4		8		75
1135		40		166		1424
765		28		116		980
415		21		68		573
2095		49		265		2323
90		6		14		139
1130		33		167		1709
2405		52		243		2627
235		12		35		361
1640		66		183		1937
975		29		97		998
20		2		2		29
1085		49		137		1430
1465		30		183		1914
125		8		27		275
1995		57		213		2252
125		7		26		227
1070		33		112		1150
310		19		47		485
555		23		71		715
850		37		107		1476
1110		29		135		1340
125		7		17		175
910		31		111		1143
1450		41		163		1759
215		12		45		466
770		19		82		853
270		16		50		492
500		25		73		753
595		20		68		711
155		10		32		333
955		29		118		1253
195		10		28		290
55		3		8		85
55		5		20		207
645		25		108		1147
370		17		49		515
505		22		76		803
745		21		108		1142
450		17		64		674
665		26		109		1148
560		20		71		740
10		2		4		41
390		20		54		549
2185		48		245		2622
230		14		42		428
2550		64		275		2971
320		18		57		584
495		22		74		751
695		15		82		833
820		32		109		880
1025		39		136		1098
1780		60		230		1845
25		3		6		80
175		12		31		318
1520		40		208		2030
985		32		113		976
470		22		92		793
3445		102		392		3511
1305		53		164		1463
3160		117		340		3180
1880		79		261		2388
1220		38		146		1363
1140		36		142		1318
1170		35		141		1299
205		13		28		294
1080		35		124		1326
380		17		56		589
1420		49		167		1695
75		6		19		202
340		18		44		454
590		26		87		911
555		35		101		1067
225		12		22		231
235		15		41		427
260		16		37		384
920		30		98		1033
880		31		106		1123
350		13		56		586
1265		40		140		1490
955		38		114		1206
75		6		13		136
60		3		6		62
1020		26		111		1207
430		21		65		700
1025		45		168		1427
1305		48		169		1431
2415		67		266		2712
95		7		38		375
1590		54		196		1965
345		19		51		536
730		35		123		1272
415		15		78		827
70		6		15		162
150		9		19		199
110		6		20		210
780		27		89		943
290		15		34		346
285		17		48		496
265		16		41		422
645		19		90		938
1830		46		240		2595
145		9		21		227
175		11		43		445
1605		38		175		1860
990		24		120		1260
795		23		82		855
3450		128		450		5289
195		11		29		303
1745		52		224		2437
730		31		102		1067
165		10		25		262
195		11		30		316
160		9		24		247
1860		42		240		2607
2060		56		264		2893
1355		41		139		1463
240		14		42		437
340		17		43		444
500		21		61		630
1905		52		226		2387
2300		62		254		2764
1855		45		248		2707
350		19		45		468
3485		81		367		4200
415		17		55		567
3605		86		376		4219
2280		59		228		2419
1250		28		161		1716
360		21		57		613
580		25		89		875
150		9		21		188
1975		52		189		1884
320		19		51		494
1785		43		258		2752
1040		45		186		1791
105		7		19		206
635		24		104		1102
50		3		4		49
1615		45		221		2408
3525		74		360		4154
205		12		42		372
2630		79		369		3509
1475		43		185		1718
720		30		85		902
955		36		105		1105
790		23		94		986
1265		41		170		1824
125		9		25		287
445		23		62		638
2030		49		200		2158
545		22		77		796
1720		46		170		2472
2295		40		255		2795
910		34		150		1519
190		11		41		414
580		14		77		788
1215		43		158		1646
225		10		36		368
225		12		30		317
315		17		57		587
445		22		57		592
855		33		166		1255
715		36		97		1025
190		8		21		221
1020		42		111		1125
320		20		55		492
235		11		27		246
2445		58		313		3026
2370		84		281		2744
1385		34		145		1466
775		17		85		880
240		17		46		474
490		21		64		656
20		3		5		51
870		27		115		1195
365		17		45		461
315		16		45		414
285		19		47		439
1220		40		122		1147
635		27		76		910
10		2		4		53
70		6		13		158
165		9		29		339
260		14		34		400
600		24		64		774
10		2		3		38
320		14		33		401
160		10		17		222
105		9		18		218
80		5		12		139
1155		43		160		2048
165		10		30		355
1375		39		139		1768
225		10		18		224
895		29		95		1153
480		19		55		672
150		9		16		222
115		7		15		212
330		16		36		491
265		15		35		490
520		27		59		818
340		19		45		621
45		3		7		98
165		9		23		311
225		12		23		315
235		15		42		585
485		19		51		719
115		6		19		267
290		17		45		618
80		6		19		258
30		3		5		79
190		9		16		228
180		10		20		279
325		18		35		510
20		2		4		61
65		4		11		127
765		24		87		1048
650		24		80		921
165		10		30		351
165		12		30		349
15		2		4		46
1265		20		139		1664
125		6		14		167
340		17		48		581
505		18		52		624
2065		44		212		2771
250		14		22		266
55		3		7		87
1100		36		116		1431
2085		33		227		3019
1		1		1		1
